208500 1:60.00 2:65.00 3:8450.00 4:2003.00 5:196.00 6:706.00 7:150.00 8:854.00 9:1.00
252678 1:60.00 2:72.00 3:8640.00 4:2009.00 5:0.00 6:822.00 7:78.00 8:920.00 9:1.00
156000 1:20.00 2:43.00 3:13568.00 4:1995.00 5:0.00 6:716.00 7:274.00 8:0.00 9:0.00
134450 1:20.00 2:72.00 3:10011.00 4:1996.00 5:64.00 6:360.00 7:710.00 8:0.00 9:0.00
210000 1:20.00 2:65.00 3:8450.00 4:2004.00 5:266.00 6:946.00 7:490.00 8:0.00 9:1.00
107000 1:70.00 2:57.00 3:9906.00 4:1950.00 5:0.00 6:0.00 7:686.00 8:518.00 9:0.00
167240 1:120.00 2:43.00 3:3010.00 4:2006.00 5:16.00 6:16.00 7:1232.00 8:0.00 9:0.00
204900 1:20.00 2:73.00 3:8990.00 4:2006.00 5:0.00 6:0.00 7:1498.00 8:0.00 9:0.00
179900 1:60.00 2:85.00 3:11475.00 4:1975.00 5:0.00 6:550.00 7:163.00 8:741.00 9:1.00
97000 1:20.00 2:70.00 3:10500.00 4:1971.00 5:0.00 6:524.00 7:160.00 8:0.00 9:0.00
386250 1:20.00 2:103.00 3:13472.00 4:2003.00 5:922.00 6:56.00 7:2336.00 8:0.00 9:0.00
112000 1:160.00 2:21.00 3:1680.00 4:1971.00 5:142.00 6:0.00 7:630.00 8:672.00 9:0.00
290000 1:60.00 2:82.00 3:9950.00 4:1995.00 5:290.00 6:565.00 7:638.00 8:1306.00 9:0.00
106000 1:160.00 2:21.00 3:1869.00 4:1970.00 5:127.00 6:321.00 7:162.00 8:504.00 9:0.00
125000 1:20.00 2:70.00 3:8521.00 4:1967.00 5:0.00 6:842.00 7:70.00 8:0.00 9:0.00
192500 1:120.00 2:43.00 3:3182.00 4:2006.00 5:16.00 6:16.00 7:1357.00 8:0.00 9:0.00
148000 1:20.00 2:73.00 3:8760.00 4:1959.00 5:220.00 6:0.00 7:1194.00 8:0.00 9:1.00
403000 1:60.00 2:174.00 3:15138.00 4:1996.00 5:506.00 6:689.00 7:773.00 8:1304.00 9:1.00
94500 1:160.00 2:21.00 3:1680.00 4:1972.00 5:297.00 6:0.00 7:483.00 8:504.00 9:0.00
128200 1:20.00 2:75.00 3:10650.00 4:1976.00 5:0.00 6:182.00 7:0.00 8:0.00 9:1.00
89500 1:160.00 2:21.00 3:1680.00 4:1971.00 5:604.00 6:358.00 7:125.00 8:504.00 9:0.00
185500 1:20.00 2:65.00 3:8773.00 4:2004.00 5:98.00 6:24.00 7:1390.00 8:0.00 9:0.00
318000 1:20.00 2:93.00 3:12030.00 4:2007.00 5:254.00 6:0.00 7:1694.00 8:0.00 9:0.00
113000 1:50.00 2:52.00 3:8741.00 4:1950.00 5:0.00 6:94.00 7:641.00 8:689.00 9:0.00
262500 1:20.00 2:75.00 3:9000.00 4:2008.00 5:36.00 6:1078.00 7:488.00 8:0.00 9:1.00
79000 1:50.00 2:63.00 3:5000.00 4:1950.00 5:0.00 6:0.00 7:540.00 8:551.00 9:0.00
120000 1:160.00 2:75.00 3:10762.00 4:1980.00 5:0.00 6:0.00 7:626.00 8:591.00 9:0.00
241500 1:20.00 2:80.00 3:10400.00 4:1988.00 5:102.00 6:929.00 7:916.00 8:0.00 9:0.00
137000 1:190.00 2:69.00 3:9142.00 4:1950.00 5:0.00 6:0.00 7:1020.00 8:1020.00 9:0.00
140000 1:20.00 2:75.00 3:11310.00 4:1954.00 5:0.00 6:0.00 7:1367.00 8:0.00 9:0.00
180000 1:60.00 2:72.00 3:11317.00 4:2003.00 5:101.00 6:0.00 7:840.00 8:828.00 9:0.00
235000 1:120.00 2:44.00 3:4750.00 4:2007.00 5:481.00 6:1573.00 7:0.00 8:0.00 9:1.00
173000 1:60.00 2:65.00 3:8366.00 4:2004.00 5:0.00 6:0.00 7:798.00 8:842.00 9:0.00
158000 1:80.00 2:85.00 3:9350.00 4:1991.00 5:108.00 6:270.00 7:452.00 8:0.00 9:0.00
145000 1:20.00 2:70.00 3:8400.00 4:1957.00 5:0.00 6:922.00 7:392.00 8:0.00 9:1.00
230000 1:60.00 2:66.00 3:8738.00 4:1999.00 5:302.00 6:0.00 7:975.00 8:1286.00 9:0.00
207500 1:60.00 2:64.00 3:8791.00 4:2003.00 5:0.00 6:503.00 7:361.00 8:864.00 9:0.00
220000 1:20.00 2:68.00 3:8814.00 4:2006.00 5:180.00 6:1334.00 7:270.00 8:0.00 9:1.00
231500 1:60.00 2:80.00 3:12435.00 4:2001.00 5:172.00 6:361.00 7:602.00 8:829.00 9:0.00
97000 1:20.00 2:70.00 3:12702.00 4:1956.00 5:0.00 6:0.00 7:0.00 8:0.00 9:0.00
176000 1:80.00 2:120.00 3:19296.00 4:1962.00 5:399.00 6:672.00 7:0.00 8:0.00 9:1.00
276000 1:60.00 2:69.00 3:9588.00 4:2007.00 5:270.00 6:0.00 7:1482.00 8:1092.00 9:0.00
151000 1:80.00 2:88.00 3:8471.00 4:1995.00 5:46.00 6:506.00 7:0.00 8:0.00 9:1.00
130000 1:50.00 2:50.00 3:5500.00 4:2001.00 5:0.00 6:234.00 7:0.00 8:0.00 9:1.00
73000 1:30.00 2:30.00 3:5232.00 4:2004.00 5:0.00 6:0.00 7:680.00 8:0.00 9:0.00
175500 1:20.00 2:78.00 3:12090.00 4:1981.00 5:210.00 6:588.00 7:606.00 8:0.00 9:0.00
185000 1:60.00 2:70.00 3:11207.00 4:1997.00 5:0.00 6:714.00 7:88.00 8:709.00 9:1.00
179500 1:75.00 2:60.00 3:8400.00 4:1997.00 5:0.00 6:378.00 7:342.00 8:720.00 9:0.00
120500 1:30.00 2:71.00 3:6900.00 4:1955.00 5:0.00 6:403.00 7:212.00 8:0.00 9:0.00
266000 1:60.00 2:84.00 3:10728.00 4:2006.00 5:0.00 6:0.00 7:1095.00 8:844.00 9:0.00
241500 1:20.00 2:73.00 3:39104.00 4:2005.00 5:0.00 6:226.00 7:96.00 8:0.00 9:1.00
290000 1:60.00 2:92.00 3:11764.00 4:2007.00 5:348.00 6:524.00 7:628.00 8:1106.00 9:0.00
139000 1:20.00 2:80.00 3:9600.00 4:1988.00 5:183.00 6:620.00 7:0.00 8:0.00 9:1.00
124500 1:20.00 2:76.00 3:8314.00 4:1982.00 5:0.00 6:546.00 7:270.00 8:0.00 9:0.00
205000 1:50.00 2:55.00 3:7264.00 4:2007.00 5:0.00 6:0.00 7:952.00 8:596.00 9:0.00
201000 1:20.00 2:129.00 3:9196.00 4:2003.00 5:0.00 6:0.00 7:1560.00 8:0.00 9:0.00
141000 1:20.00 2:140.00 3:19138.00 4:1951.00 5:0.00 6:120.00 7:744.00 8:0.00 9:0.00
415298 1:20.00 2:107.00 3:14450.00 4:2007.00 5:315.00 6:0.00 7:2121.00 8:0.00 9:0.00
192000 1:60.00 2:83.00 3:10005.00 4:1977.00 5:299.00 6:392.00 7:768.00 8:866.00 9:0.00
228500 1:60.00 2:82.00 3:11287.00 4:1989.00 5:340.00 6:421.00 7:386.00 8:807.00 9:0.00
185000 1:20.00 2:60.00 3:7200.00 4:2006.00 5:68.00 6:905.00 7:357.00 8:0.00 9:0.00
207500 1:120.00 2:34.00 3:5063.00 4:2008.00 5:166.00 6:904.00 7:410.00 8:0.00 9:1.00
244600 1:20.00 2:74.00 3:9612.00 4:2009.00 5:72.00 6:0.00 7:1468.00 8:0.00 9:0.00
179200 1:120.00 2:50.00 3:8012.00 4:1992.00 5:0.00 6:430.00 7:1145.00 8:0.00 9:1.00
164700 1:160.00 2:35.00 3:4251.00 4:2007.00 5:0.00 6:0.00 7:625.00 8:625.00 9:0.00
159000 1:50.00 2:77.00 3:9786.00 4:1981.00 5:0.00 6:600.00 7:312.00 8:649.00 9:0.00
153575 1:70.00 2:60.00 3:8730.00 4:2003.00 5:0.00 6:0.00 7:698.00 8:698.00 9:0.00
233230 1:60.00 2:120.00 3:15611.00 4:2006.00 5:0.00 6:0.00 7:1079.00 8:840.00 9:0.00
131000 1:50.00 2:60.00 3:11409.00 4:2008.00 5:0.00 6:292.00 7:476.00 8:568.00 9:0.00
167000 1:20.00 2:80.00 3:9600.00 4:1953.00 5:238.00 6:1285.00 7:131.00 8:0.00 9:1.00
142500 1:80.00 2:37.00 3:7937.00 4:1984.00 5:0.00 6:819.00 7:184.00 8:0.00 9:1.00
152000 1:50.00 2:75.00 3:13710.00 4:1950.00 5:0.00 6:420.00 7:490.00 8:648.00 9:0.00
239000 1:60.00 2:66.00 3:7399.00 4:1998.00 5:1600.00 6:649.00 7:326.00 8:975.00 9:0.00
175000 1:60.00 2:90.00 3:11700.00 4:1968.00 5:365.00 6:384.00 7:143.00 8:702.00 9:0.00
158500 1:20.00 2:80.00 3:14000.00 4:2004.00 5:0.00 6:0.00 7:1092.00 8:0.00 9:0.00
157000 1:190.00 2:90.00 3:15750.00 4:1953.00 5:56.00 6:841.00 7:324.00 8:0.00 9:1.00
267000 1:60.00 2:66.00 3:16226.00 4:1999.00 5:0.00 6:281.00 7:747.00 8:1242.00 9:0.00
205000 1:20.00 2:118.00 3:13704.00 4:2002.00 5:150.00 6:0.00 7:1541.00 8:0.00 9:0.00
